"Date","Site.Name","COUNTY","meanlatitude","meanlongitude","Month","Day","PM2.5","Ozone"
2018-01-01,"Bryson City","Swain",35.434767,-83.442133,1,1,35,NA
2018-01-01,"Castle Hayne","New Hanover",34.364167,-77.838611,1,1,13,NA
2018-01-01,"Clemmons Middle","Forsyth",36.026,-80.342,1,1,24,NA
2018-01-01,"Durham Armory","Durham",36.0329550008979,-78.904037,1,1,31,NA
2018-01-01,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,1,20,32
2018-01-01,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,1,22,NA
2018-01-01,"Leggett","Edgecombe",35.988278,-77.5843,1,1,14,NA
2018-01-01,"Millbrook School","Wake",35.856111,-78.574167,1,1,28,34
2018-01-01,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,1,15,NA
2018-01-01,"West Johnston Co.","Johnston",35.59095,-78.4622,1,1,24,NA
2018-01-02,"Bryson City","Swain",35.434767,-83.442133,1,2,51,NA
2018-01-02,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2,15,NA
2018-01-02,"Clemmons Middle","Forsyth",36.026,-80.342,1,2,40,NA
2018-01-02,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2,37,NA
2018-01-02,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2,7,NA
2018-01-02,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2,38,31
2018-01-02,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2,25.5,NA
2018-01-02,"Leggett","Edgecombe",35.988278,-77.5843,1,2,20,NA
2018-01-02,"Linville Falls","Avery",35.972347,-81.933072,1,2,12,NA
2018-01-02,"Millbrook School","Wake",35.856111,-78.574167,1,2,38.5,31
2018-01-02,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2,28,NA
2018-01-02,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2,35,NA
2018-01-03,"Bryson City","Swain",35.434767,-83.442133,1,3,44,NA
2018-01-03,"Castle Hayne","New Hanover",34.364167,-77.838611,1,3,18,NA
2018-01-03,"Clemmons Middle","Forsyth",36.026,-80.342,1,3,68,NA
2018-01-03,"Durham Armory","Durham",36.0329550008979,-78.904037,1,3,58,NA
2018-01-03,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,3,59,21
2018-01-03,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,3,55,NA
2018-01-03,"Leggett","Edgecombe",35.988278,-77.5843,1,3,23,NA
2018-01-03,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,3,60,NA
2018-01-03,"Millbrook School","Wake",35.856111,-78.574167,1,3,61,30
2018-01-03,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,3,34,NA
2018-01-03,"West Johnston Co.","Johnston",35.59095,-78.4622,1,3,47,NA
2018-01-04,"Bryson City","Swain",35.434767,-83.442133,1,4,28,NA
2018-01-04,"Castle Hayne","New Hanover",34.364167,-77.838611,1,4,19,NA
2018-01-04,"Clemmons Middle","Forsyth",36.026,-80.342,1,4,42,NA
2018-01-04,"Durham Armory","Durham",36.0329550008979,-78.904037,1,4,40,NA
2018-01-04,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,4,39,30
2018-01-04,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,4,35,NA
2018-01-04,"Leggett","Edgecombe",35.988278,-77.5843,1,4,23,NA
2018-01-04,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,4,25,NA
2018-01-04,"Millbrook School","Wake",35.856111,-78.574167,1,4,39,32
2018-01-04,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,4,25,NA
2018-01-04,"West Johnston Co.","Johnston",35.59095,-78.4622,1,4,30,NA
2018-01-05,"Bryson City","Swain",35.434767,-83.442133,1,5,30,NA
2018-01-05,"Castle Hayne","New Hanover",34.364167,-77.838611,1,5,15,NA
2018-01-05,"Clemmons Middle","Forsyth",36.026,-80.342,1,5,37,NA
2018-01-05,"Durham Armory","Durham",36.0329550008979,-78.904037,1,5,32.5,NA
2018-01-05,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,5,13,NA
2018-01-05,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,5,32,30
2018-01-05,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,5,27,NA
2018-01-05,"Leggett","Edgecombe",35.988278,-77.5843,1,5,9,NA
2018-01-05,"Linville Falls","Avery",35.972347,-81.933072,1,5,15,NA
2018-01-05,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,5,23,NA
2018-01-05,"Millbrook School","Wake",35.856111,-78.574167,1,5,32,33
2018-01-05,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,5,21,NA
2018-01-05,"West Johnston Co.","Johnston",35.59095,-78.4622,1,5,32,NA
2018-01-06,"Bryson City","Swain",35.434767,-83.442133,1,6,35,NA
2018-01-06,"Castle Hayne","New Hanover",34.364167,-77.838611,1,6,21,NA
2018-01-06,"Clemmons Middle","Forsyth",36.026,-80.342,1,6,35,NA
2018-01-06,"Durham Armory","Durham",36.0329550008979,-78.904037,1,6,32,NA
2018-01-06,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,6,40,31
2018-01-06,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,6,22,NA
2018-01-06,"Leggett","Edgecombe",35.988278,-77.5843,1,6,8,NA
2018-01-06,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,6,23,NA
